Id,Url,Primarytitle,Originaltitle,Type,Description,Primaryimage,Thumbnails,Trailer,Contentrating,Startyear,Endyear,Releasedate,Interests,Countriesoforigin,Externallinks,Spokenlanguages,Filminglocations,Productioncompanies,Budget,Grossworldwide,Genres,Isadult,Runtimeminutes,Averagerating,Numvotes,Metascore
tt0111161,https://www.imdb.com/title/tt0111161/,The Shawshank Redemption,The Shawshank Redemption,movie,"After a banker is sentenced to life in Shawshank Prison, he forms an unlikely friendship with a seasoned inmate and clings to hope amid cruelty and corruption.",https://m.media-amazon.com/images/M/MV5BMDAyY2FhYjctNDc5OS00MDNlLThiMGUtY2UxYWVkNGY2ZjljXkEyXkFqcGc@.jpg,"[{'url': 'https://m.media-amazon.com/images/M/MV5BMDAyY2FhYjctNDc5OS00MDNlLThiMGUtY2UxYWVkNGY2ZjljXkEyXkFqcGc@._V1_QL75_UX100_CR0,0,100,148_.jpg', 'width': 100, 'height': 148}, {'url': 'https://m.media-amazon.com/images/M/MV5BMDAyY2FhYjctNDc5OS00MDNlLThiMGUtY2UxYWVkNGY2ZjljXkEyXkFqcGc@._V1_QL75_UX280_CR0,0,280,414_.jpg', 'width': 280, 'height': 414}, {'url': 'https://m.media-amazon.com/images/M/MV5BMDAyY2FhYjctNDc5OS00MDNlLThiMGUtY2UxYWVkNGY2ZjljXkEyXkFqcGc@._V1_QL75_UX380_CR0,0,380,562_.jpg', 'width': 380, 'height': 562}]",https://www.youtube.com/watch?v=xyXX8LXiNJ4,R,1994,,14-10-1994,"['Epic', 'Period Drama', 'Prison Drama', 'Psychological Drama', 'Drama']",['US'],"['https://www.facebook.com/shawshankredemptionfilm/', 'https://www.warnerbros.com/movies/shawshank-redemption']",['en'],"['Butler, Ohio, USA']","[{'id': 'co0040620', 'name': 'Castle Rock Entertainment'}]",25000000,29424909,['Drama'],FALSE,142,9.3,3219026,82
tt0068646,https://www.imdb.com/title/tt0068646/,The Godfather,The Godfather,movie,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.,https://m.media-amazon.com/images/M/MV5BNGEwYjgwOGQtYjg5ZS00Njc1LTk2ZGEtM2QwZWQ2NjdhZTE5XkEyXkFqcGc@.jpg,"[{'url': 'https://m.media-amazon.com/images/M/MV5BNGEwYjgwOGQtYjg5ZS00Njc1LTk2ZGEtM2QwZWQ2NjdhZTE5XkEyXkFqcGc@._V1_QL75_UX100_CR0,0,100,148_.jpg', 'width': 100, 'height': 148}, {'url': 'https://m.media-amazon.com/images/M/MV5BNGEwYjgwOGQtYjg5ZS00Njc1LTk2ZGEtM2QwZWQ2NjdhZTE5XkEyXkFqcGc@._V1_QL75_UX280_CR0,0,280,414_.jpg', 'width': 280, 'height': 414}, {'url': 'https://m.media-amazon.com/images/M/MV5BNGEwYjgwOGQtYjg5ZS00Njc1LTk2ZGEtM2QwZWQ2NjdhZTE5XkEyXkFqcGc@._V1_QL75_UX380_CR0,0,380,562_.jpg', 'width': 380, 'height': 562}]",https://www.youtube.com/watch?v=8V2k2YQEQJ4,R,1972,,24-03-1972,"['Epic', 'Gangster', 'Psychological Drama', 'Tragedy', 'Crime', 'Drama']",['US'],"['https://www.facebook.com/thegodfather/', 'https://www.instagram.com/thegodfathermovie/']","['en', 'it', 'la']","[""Forza d'Agrò, Messina, Sicily, Italy""]","[{'id': 'co0023400', 'name': 'Paramount Pictures'}, {'id': 'co0921482', 'name': 'Albert S. Ruddy Productions'}, {'id': 'co0255097', 'name': 'Alfran Productions'}]",6000000,250933436,"['Crime', 'Drama']",FALSE,175,9.2,2244201,100
tt0468569,https://www.imdb.com/title/tt0468569/,The Dark Knight,The Dark Knight,movie,"When a menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman, James Gordon and Harvey Dent must work together to put an end to the madness.",https://m.media-amazon.com/images/M/MV5BMTMxNTMwODM0NF5BMl5BanBnXkFtZTcwODAyMTk2Mw@@.jpg,"[{'url': 'https://m.media-amazon.com/images/M/MV5BMTMxNTMwODM0NF5BMl5BanBnXkFtZTcwODAyMTk2Mw@@._V1_QL75_UX100_CR0,0,100,148_.jpg', 'width': 100, 'height': 148}, {'url': 'https://m.media-amazon.com/images/M/MV5BMTMxNTMwODM0NF5BMl5BanBnXkFtZTcwODAyMTk2Mw@@._V1_QL75_UX280_CR0,0,280,414_.jpg', 'width': 280, 'height': 414}, {'url': 'https://m.media-amazon.com/images/M/MV5BMTMxNTMwODM0NF5BMl5BanBnXkFtZTcwODAyMTk2Mw@@._V1_QL75_UX380_CR0,0,380,562_.jpg', 'width': 380, 'height': 562}]",https://www.youtube.com/watch?v=kmJLuwP3MbY,PG-13,2008,,18-07-2008,"['DC', 'Action Epic', 'Epic', 'Psychological Drama', 'Psychological Thriller', 'Superhero', 'Crime', 'Thriller']","['US', 'GB']","['https://www.facebook.com/darkknighttrilogy/', 'https://www.warnerbros.co.uk/movies/dark-knight']",['en'],"['Chicago, Illinois, USA']","[{'id': 'co0002663', 'name': 'Warner Bros.'}, {'id': 'co1041831', 'name': 'Legendary Pictures'}, {'id': 'co0038332', 'name': 'DC Comics'}]",185000000,1008480203,"['Crime', 'Thriller']",FALSE,152,9.1,3204629,85
tt0071562,https://www.imdb.com/title/tt0071562/,The Godfather Part II,The Godfather Part II,movie,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",https://m.media-amazon.com/images/M/MV5BMDIxMzBlZDktZjMxNy00ZGI4LTgxNDEtYWRlNzRjMjJmOGQ1XkEyXkFqcGc@.jpg,"[{'url': 'https://m.media-amazon.com/images/M/MV5BMDIxMzBlZDktZjMxNy00ZGI4LTgxNDEtYWRlNzRjMjJmOGQ1XkEyXkFqcGc@._V1_QL75_UX100_CR0,0,100,148_.jpg', 'width': 100, 'height': 148}, {'url': 'https://m.media-amazon.com/images/M/MV5BMDIxMzBlZDktZjMxNy00ZGI4LTgxNDEtYWRlNzRjMjJmOGQ1XkEyXkFqcGc@._V1_QL75_UX280_CR0,0,280,414_.jpg', 'width': 280, 'height': 414}, {'url': 'https://m.media-amazon.com/images/M/MV5BMDIxMzBlZDktZjMxNy00ZGI4LTgxNDEtYWRlNzRjMjJmOGQ1XkEyXkFqcGc@._V1_QL75_UX380_CR0,0,380,562_.jpg', 'width': 380, 'height': 562}]",https://www.youtube.com/watch?v=9O1Iy9od7-A,R,1974,,18-12-1974,"['Epic', 'Gangster', 'Tragedy', 'Crime', 'Drama']",['US'],"['https://www.facebook.com/thegodfather/', 'https://www.instagram.com/thegodfathermovie/']","['en', 'it', 'es', 'la']","['Kaiser Estate - 4000 W Lake Blvd, Homewood, Lake Tahoe, California, USA']","[{'id': 'co0023400', 'name': 'Paramount Pictures'}, {'id': 'co0099634', 'name': 'The Coppola Company'}, {'id': 'co0020958', 'name': 'American Zoetrope'}]",13000000,48209545,"['Crime', 'Drama']",FALSE,202,9,1505420,90
tt0167260,https://www.imdb.com/title/tt0167260/,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King,movie,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,https://m.media-amazon.com/images/M/MV5BMTZkMjBjNWMtZGI5OC00MGU0LTk4ZTItODg2NWM3NTVmNWQ4XkEyXkFqcGc@.jpg,"[{'url': 'https://m.media-amazon.com/images/M/MV5BMTZkMjBjNWMtZGI5OC00MGU0LTk4ZTItODg2NWM3NTVmNWQ4XkEyXkFqcGc@._V1_QL75_UX100_CR0,0,100,148_.jpg', 'width': 100, 'height': 148}, {'url': 'https://m.media-amazon.com/images/M/MV5BMTZkMjBjNWMtZGI5OC00MGU0LTk4ZTItODg2NWM3NTVmNWQ4XkEyXkFqcGc@._V1_QL75_UX280_CR0,0,280,414_.jpg', 'width': 280, 'height': 414}, {'url': 'https://m.media-amazon.com/images/M/MV5BMTZkMjBjNWMtZGI5OC00MGU0LTk4ZTItODg2NWM3NTVmNWQ4XkEyXkFqcGc@._V1_QL75_UX380_CR0,0,380,562_.jpg', 'width': 380, 'height': 562}]",https://www.youtube.com/watch?v=zckJCxYxn1g,PG-13,2003,,17-12-2003,"['The Lord of the Rings', 'Action Epic', 'Adventure Epic', 'Epic', 'Fantasy Epic', 'Mountain Adventure', 'Quest', 'Sword & Sorcery', 'Tragedy', 'Adventure']","['NZ', 'US']","['https://www.facebook.com/lordoftheringstrilogy', 'http://www.lordoftherings.net/']",['en'],"['Hinuera Valley, Matamata, Waikato, New Zealand']","[{'id': 'co0046718', 'name': 'New Line Cinema'}, {'id': 'co0046203', 'name': 'WingNut Films'}, {'id': 'co0061706', 'name': 'The Saul Zaentz Company'}]",94000000,1149453674,"['Adventure', 'Drama', 'Fantasy']",FALSE,201,9,2181632,94
tt0050083,https://www.imdb.com/title/tt0050083/,12 Angry Men,12 Angry Men,movie,The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.,https://m.media-amazon.com/images/M/MV5BYjE4NzdmOTYtYjc5Yi00YzBiLWEzNDEtNTgxZGQ2MWVkN2NiXkEyXkFqcGc@.jpg,"[{'url': 'https://m.media-amazon.com/images/M/MV5BYjE4NzdmOTYtYjc5Yi00YzBiLWEzNDEtNTgxZGQ2MWVkN2NiXkEyXkFqcGc@._V1_QL75_UX100_CR0,0,100,148_.jpg', 'width': 100, 'height': 148}, {'url': 'https://m.media-amazon.com/images/M/MV5BYjE4NzdmOTYtYjc5Yi00YzBiLWEzNDEtNTgxZGQ2MWVkN2NiXkEyXkFqcGc@._V1_QL75_UX280_CR0,0,280,414_.jpg', 'width': 280, 'height': 414}, {'url': 'https://m.media-amazon.com/images/M/MV5BYjE4NzdmOTYtYjc5Yi00YzBiLWEzNDEtNTgxZGQ2MWVkN2NiXkEyXkFqcGc@._V1_QL75_UX380_CR0,0,380,562_.jpg', 'width': 380, 'height': 562}]",https://www.youtube.com/watch?v=TEN-2uTi2c0,Approved,1957,,10-04-1957,"['Legal Drama', 'Psychological Drama', 'Crime', 'Drama']",['US'],[],['en'],"['New York County Courthouse - 60 Centre Street, New York City, New York, USA']","[{'id': 'co0032902', 'name': 'Orion-Nova Productions'}]",350000,13168,"['Crime', 'Drama']",FALSE,96,9,996035,97
tt0108052,https://www.imdb.com/title/tt0108052/,Schindler's List,Schindler's List,movie,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",https://m.media-amazon.com/images/M/MV5BNjM1ZDQxYWUtMzQyZS00MTE1LWJmZGYtNGUyNTdlYjM3ZmVmXkEyXkFqcGc@.jpg,"[{'url': 'https://m.media-amazon.com/images/M/MV5BNjM1ZDQxYWUtMzQyZS00MTE1LWJmZGYtNGUyNTdlYjM3ZmVmXkEyXkFqcGc@._V1_QL75_UX100_CR0,0,100,148_.jpg', 'width': 100, 'height': 148}, {'url': 'https://m.media-amazon.com/images/M/MV5BNjM1ZDQxYWUtMzQyZS00MTE1LWJmZGYtNGUyNTdlYjM3ZmVmXkEyXkFqcGc@._V1_QL75_UX280_CR0,0,280,414_.jpg', 'width': 280, 'height': 414}, {'url': 'https://m.media-amazon.com/images/M/MV5BNjM1ZDQxYWUtMzQyZS00MTE1LWJmZGYtNGUyNTdlYjM3ZmVmXkEyXkFqcGc@._V1_QL75_UX380_CR0,0,380,562_.jpg', 'width': 380, 'height': 562}]",https://www.youtube.com/watch?v=kXYcYhckXD8,R,1993,,04-02-1994,"['Docudrama', 'Epic', 'Historical Epic', 'Period Drama', 'Prison Drama', 'Psychological Drama', 'Tragedy', 'Biography', 'Drama', 'History']",['US'],"['https://www.facebook.com/SchindlersListMovie/', 'https://www.uphe.com/movies/schindlers-list']","['en', 'he', 'de', 'pl', 'la']","['Auschwitz-Birkenau Concentration Camp, Oswiecim, Malopolskie, Poland']","[{'id': 'co0005073', 'name': 'Universal Pictures'}, {'id': 'co0009119', 'name': 'Amblin Entertainment'}]",22000000,322161245,"['Biography', 'Drama', 'History']",FALSE,195,9,1595817,95
tt0120737,https://www.imdb.com/title/tt0120737/,The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring,movie,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,https://m.media-amazon.com/images/M/MV5BNzIxMDQ2YTctNDY4MC00ZTRhLTk4ODQtMTVlOWY4NTdiYmMwXkEyXkFqcGc@.jpg,"[{'url': 'https://m.media-amazon.com/images/M/MV5BNzIxMDQ2YTctNDY4MC00ZTRhLTk4ODQtMTVlOWY4NTdiYmMwXkEyXkFqcGc@._V1_QL75_UX100_CR0,0,100,148_.jpg', 'width': 100, 'height': 148}, {'url': 'https://m.media-amazon.com/images/M/MV5BNzIxMDQ2YTctNDY4MC00ZTRhLTk4ODQtMTVlOWY4NTdiYmMwXkEyXkFqcGc@._V1_QL75_UX280_CR0,0,280,414_.jpg', 'width': 280, 'height': 414}, {'url': 'https://m.media-amazon.com/images/M/MV5BNzIxMDQ2YTctNDY4MC00ZTRhLTk4ODQtMTVlOWY4NTdiYmMwXkEyXkFqcGc@._V1_QL75_UX380_CR0,0,380,562_.jpg', 'width': 380, 'height': 562}]",https://www.youtube.com/watch?v=_nZdmwHrcnw,PG-13,2001,,19-12-2001,"['The Lord of the Rings', 'Action Epic', 'Adventure Epic', 'Dark Fantasy', 'Epic', 'Fantasy Epic', 'Quest', 'Sword & Sorcery', 'Adventure', 'Drama']","['NZ', 'US', 'GB']","['https://www.facebook.com/lordoftheringstrilogy', 'https://www.warnerbros.com/movies/lord-rings-fellowship-ring']",['en'],"['Wellington, New Zealand']","[{'id': 'co0046718', 'name': 'New Line Cinema'}, {'id': 'co0046203', 'name': 'WingNut Films'}, {'id': 'co0614377', 'name': 'Marzano Films'}]",93000000,897539618,"['Adventure', 'Drama', 'Fantasy']",FALSE,178,8.9,2224790,92
tt0110912,https://www.imdb.com/title/tt0110912/,Pulp Fiction,Pulp Fiction,movie,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",https://m.media-amazon.com/images/M/MV5BYTViYTE3ZGQtNDBlMC00ZTAyLTkyODMtZGRiZDg0MjA2YThkXkEyXkFqcGc@.jpg,"[{'url': 'https://m.media-amazon.com/images/M/MV5BYTViYTE3ZGQtNDBlMC00ZTAyLTkyODMtZGRiZDg0MjA2YThkXkEyXkFqcGc@._V1_QL75_UX100_CR0,0,100,148_.jpg', 'width': 100, 'height': 148}, {'url': 'https://m.media-amazon.com/images/M/MV5BYTViYTE3ZGQtNDBlMC00ZTAyLTkyODMtZGRiZDg0MjA2YThkXkEyXkFqcGc@._V1_QL75_UX280_CR0,0,280,414_.jpg', 'width': 280, 'height': 414}, {'url': 'https://m.media-amazon.com/images/M/MV5BYTViYTE3ZGQtNDBlMC00ZTAyLTkyODMtZGRiZDg0MjA2YThkXkEyXkFqcGc@._V1_QL75_UX380_CR0,0,380,562_.jpg', 'width': 380, 'height': 562}]",https://www.youtube.com/watch?v=tGpTpVyI_OQ,R,1994,,14-10-1994,"['Dark Comedy', 'Drug Crime', 'Gangster', 'Crime', 'Drama']",['US'],"['http://www.facebook.com/PulpFiction', 'http://www.miramax.com/movie/pulp-fiction']","['en', 'es', 'fr']","['1435 Flower Street, Glendale, California, USA']","[{'id': 'co0022594', 'name': 'Miramax'}, {'id': 'co0019267', 'name': 'A Band Apart'}, {'id': 'co0010434', 'name': 'Jersey Films'}]",8000000,213928762,"['Crime', 'Drama']",FALSE,154,8.8,2455116,95
tt0060196,https://www.imdb.com/title/tt0060196/,"The Good, the Bad and the Ugly","Il buono, il brutto, il cattivo",movie,A bounty-hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,https://m.media-amazon.com/images/M/MV5BMWM5ZjQxM2YtNDlmYi00ZDNhLWI4MWUtN2VkYjBlMTY1ZTkwXkEyXkFqcGc@.jpg,"[{'url': 'https://m.media-amazon.com/images/M/MV5BMWM5ZjQxM2YtNDlmYi00ZDNhLWI4MWUtN2VkYjBlMTY1ZTkwXkEyXkFqcGc@._V1_QL75_UX100_CR0,0,100,148_.jpg', 'width': 100, 'height': 148}, {'url': 'https://m.media-amazon.com/images/M/MV5BMWM5ZjQxM2YtNDlmYi00ZDNhLWI4MWUtN2VkYjBlMTY1ZTkwXkEyXkFqcGc@._V1_QL75_UX280_CR0,0,280,414_.jpg', 'width': 280, 'height': 414}, {'url': 'https://m.media-amazon.com/images/M/MV5BMWM5ZjQxM2YtNDlmYi00ZDNhLWI4MWUtN2VkYjBlMTY1ZTkwXkEyXkFqcGc@._V1_QL75_UX380_CR0,0,380,562_.jpg', 'width': 380, 'height': 562}]",https://www.youtube.com/watch?v=3VQjSSB78es,R,1966,,29-12-1967,"['Action Epic', 'Adventure Epic', 'Dark Comedy', 'Desert Adventure', 'Epic', 'Period Drama', 'Quest', 'Spaghetti Western', 'Western Epic', 'Adventure']","['IT', 'ES', 'US']",[],"['en', 'it']","['Cabo de Gata, Almería, Andalucía, Spain']","[{'id': 'co0013844', 'name': 'Produzioni Europee Associate (PEA)'}, {'id': 'co0046114', 'name': 'Arturo González Producciones Cinematográficas'}, {'id': 'co0002257', 'name': 'Constantin Film'}]",1200000,25280183,"['Adventure', 'Drama', 'Western']",FALSE,178,8.8,896337,90
