listing_id,amenity
50904,Kitchen
50904,Smoke alarm
50904,Hair dryer
50904,Keypad
50904,Carbon monoxide alarm
50904,Mini fridge
50904,Wifi
50904,Dishes and silverware
50904,Security cameras on property
50904,Clothing storage
50904,Luggage dropoff allowed
50904,Bed linens
50904,Iron
50904,Dedicated workspace
50904,Microwave
50904,Molton Brown body soap
50904,Essentials
50904,Hot water kettle
50904,Long term stays allowed
50904,Portable fans
50904,Wine glasses
50904,Heating
50904,Paid parking off premises
50904,Hot water
50904,Fire extinguisher
50904,Bluetooth sound system
50904,Coffee maker
50904,Molton Brown shampoo
50904,Safe
50904,Hangers
50904,Cable TV
50904,TV with standard cable
50904,Shower gel
116134,Refrigerator
116134,Elevator
116134,Paid street parking off premises
116134,Kitchen
116134,Smoke alarm
116134,Shampoo
116134,Hair dryer
116134,Outdoor furniture
116134,Stove
116134,Carbon monoxide alarm
116134,Oven
116134,Wifi
116134,Cooking basics
116134,"Clothing storage: dresser, wardrobe, and closet"
116134,Dishes and silverware
116134,Toaster
116134,Washer
116134,Window guards
116134,Freezer
116134,Iron
116134,Dedicated workspace
116134,Microwave
116134,Essentials
116134,Hot water kettle
116134,Long term stays allowed
116134,Waterfront
116134,Paid parking garage on premises – 1 space
116134,Bathtub
116134,Room-darkening shades
116134,Portable fans
116134,First aid kit
116134,Wine glasses
116134,Drying rack for clothing
116134,Heating
116134,Hot water
116134,Private patio or balcony
116134,Private entrance
116134,Fire extinguisher
116134,Dishwasher
116134,Coffee maker
116134,Changing table
116134,Hangers
116134,Cable TV
116134,TV with standard cable
116134,Cleaning products
218916,Paid street parking off premises
218916,Kitchen
218916,Smoke alarm
218916,Shampoo
218916,Hair dryer
218916,Outdoor furniture
218916,Carbon monoxide alarm
218916,Babysitter recommendations
218916,Wifi
218916,Cooking basics
218916,Dishes and silverware
218916,Smeg  oven
218916,Samsung  refrigerator
218916,Pack ’n play/Travel crib
218916,Conditioner
218916,Laundromat nearby
218916,Luggage dropoff allowed
218916,Bed linens
218916,Freezer
218916,Body soap
218916,Iron
218916,Central heating
218916,Essentials
218916,Long term stays allowed
218916,Outdoor dining area
218916,Cleaning products
218916,Dining table
218916,Bathtub
218916,Room-darkening shades
218916,Extra pillows and blankets
218916,Portable fans
218916,First aid kit
218916,Wine glasses
218916,Clothing storage: walk-in closet
218916,Hot water
218916,Private patio or balcony
218916,High chair
218916,Fire extinguisher
218916,Coffee maker
218916,Hangers
218916,Shower gel
224333,Fire extinguisher
224333,Backyard
224333,Long term stays allowed
224333,Kitchen
224333,Smoke alarm
224333,Outdoor furniture
224333,Washer
224333,Patio or balcony
224333,First aid kit
224333,Lock on bedroom door
224333,Wifi
224333,Heating
224682,Refrigerator
224682,Kitchen
224682,Smoke alarm
224682,Shampoo
224682,Hair dryer
224682,Host greets you
224682,Stove
224682,Carbon monoxide alarm
224682,Cooking basics
224682,Wifi
224682,Dishes and silverware
224682,Bed linens
224682,Microwave
224682,Essentials
224682,Long term stays allowed
224682,First aid kit
224682,Heating
224682,Hot water
224682,Fire extinguisher
224682,Coffee maker
224682,Hangers
345959,Refrigerator
345959,Backyard
345959,Kitchen
345959,Smoke alarm
345959,Shampoo
345959,Hair dryer
345959,Host greets you
345959,Stove
345959,Single level home
345959,Oven
345959,Cooking basics
345959,Wifi
345959,Dishes and silverware
345959,Luggage dropoff allowed
345959,Bed linens
345959,Iron
345959,Dedicated workspace
345959,Microwave
345959,Essentials
345959,Long term stays allowed
345959,Extra pillows and blankets
345959,Heating
345959,Paid parking off premises
345959,Hot water
345959,Fire extinguisher
345959,Coffee maker
345959,Hangers
345959,Cable TV
345959,TV with standard cable
363155,Backyard
363155,Kitchen
363155,Smoke alarm
363155,Shampoo
363155,Hair dryer
363155,Carbon monoxide alarm
363155,Wifi
363155,Cooking basics
363155,Dishes and silverware
363155,Washer
363155,Luggage dropoff allowed
363155,Bed linens
363155,Iron
363155,Dedicated workspace
363155,Essentials
363155,Long term stays allowed
363155,Heating
363155,Fire extinguisher
363155,Dryer
363155,Patio or balcony
363155,Hangers
363155,Cable TV
363155,TV with standard cable
366252,Elevator
366252,Fire extinguisher
366252,Long term stays allowed
366252,Building staff
366252,Kitchen
366252,Dryer
366252,Shampoo
366252,Washer
366252,Smoke alarm
366252,Hangers
366252,Lock on bedroom door
366252,Iron
366252,Dedicated workspace
366252,Wifi
366252,TV
366252,Heating
366252,Paid parking off premises
522693,High chair
522693,Fire extinguisher
522693,Kitchen
522693,Dryer
522693,Shampoo
522693,Washer
522693,Hair dryer
522693,Children’s dinnerware
522693,Smoke alarm
522693,First aid kit
522693,Crib
522693,Hangers
522693,Cable TV
522693,Iron
522693,Dedicated workspace
522693,Wifi
522693,TV with standard cable
522693,Heating
522693,Essentials
636664,Refrigerator
636664,Elevator
636664,Kitchen
636664,Smoke alarm
636664,Shampoo
636664,Hair dryer
636664,Children’s dinnerware
636664,Outdoor furniture
636664,Host greets you
636664,Stove
636664,Oven
636664,Cooking basics
636664,Dishes and silverware
636664,Security cameras on property
636664,Children’s books and toys
636664,Washer
636664,Pack ’n play/Travel crib
636664,Fast wifi – 273 Mbps
636664,Luggage dropoff allowed
636664,Bed linens
636664,Iron
636664,Dedicated workspace
636664,Microwave
636664,Essentials
636664,Long term stays allowed
636664,Outdoor dining area
636664,Bathtub
636664,Extra pillows and blankets
636664,Crib
636664,Baby bath
636664,Heating
636664,Paid parking off premises
636664,Hot water
636664,Private patio or balcony
636664,High chair
636664,Fire extinguisher
636664,Coffee maker
636664,Hangers
636664,Cable TV
636664,TV with standard cable
639013,Refrigerator
639013,Fire extinguisher
639013,Backyard
639013,Dishwasher
639013,Smoke alarm
639013,Shampoo
639013,Coffee maker
639013,Stove
639013,Paid parking on premises
639013,Hangers
639013,Lock on bedroom door
639013,Oven
639013,Iron
639013,Cooking basics
639013,Wifi
639013,Microwave
639013,Heating
639013,Dishes and silverware
639013,Essentials
772842,Refrigerator
772842,Paid street parking off premises
772842,Kitchen
772842,Hair dryer
772842,Host greets you
772842,Oven
772842,Cooking basics
772842,Wifi
772842,Dishes and silverware
772842,Toaster
772842,Washer
772842,Free street parking
772842,Laundromat nearby
772842,Bed linens
772842,Iron
772842,Dedicated workspace
772842,Microwave
772842,Essentials
772842,Stainless steel gas stove
772842,Long term stays allowed
772842,Waterfront
772842,Dining table
772842,Bathtub
772842,Wine glasses
772842,Free parking on premises
772842,TV
772842,Drying rack for clothing
772842,Heating
772842,Hot water
772842,Private patio or balcony
772842,Dishwasher
772842,Coffee maker
772842,Hangers
772842,Cleaning products
778043,Refrigerator
778043,Elevator
778043,Kitchen
778043,Smoke alarm
778043,Shampoo
778043,Hair dryer
778043,Host greets you
778043,Stove
