Client_ID,Company,Industry,Country,ContractValue
1,Wipro,Retail,India,39728043
2,TCS,Healthcare,India,41065784
3,Wipro,Healthcare,India,32180187
4,TCS,Healthcare,Canada,7905343
5,Infosys,Retail,UK,15392192
6,HCLTech,Healthcare,Canada,3606105
7,Wipro,Retail,UK,39845758
8,HCLTech,Telecom,UK,25774510
9,TCS,Telecom,UK,38521726
10,TCS,Telecom,UK,33615568
11,Wipro,Telecom,Canada,939266
12,TCS,Healthcare,UK,35149637
13,Wipro,Manufacturing,UK,26939562
14,Infosys,Retail,Canada,26940688
15,Wipro,Banking,Germany,11371651
16,Infosys,Healthcare,UK,9878460
17,Wipro,Retail,UK,13172681
18,Wipro,Telecom,India,38803482
19,HCLTech,Telecom,UK,44100520
20,HCLTech,Retail,UK,5850057
21,Wipro,Healthcare,UK,17382926
22,HCLTech,Retail,USA,24041543
23,Infosys,Telecom,USA,45994153
24,Wipro,Manufacturing,Germany,2161502
25,Wipro,Banking,USA,16074778
26,Wipro,Telecom,USA,20208857
27,Wipro,Telecom,USA,15191870
28,Infosys,Healthcare,USA,26134796
29,HCLTech,Banking,Canada,8387012
30,TCS,Telecom,Canada,13959249
31,Wipro,Healthcare,USA,8427978
32,Infosys,Retail,India,19296918
33,Infosys,Retail,Canada,3745139
34,HCLTech,Manufacturing,UK,30941171
35,TCS,Manufacturing,Canada,20407692
36,TCS,Manufacturing,USA,4948685
37,Infosys,Banking,Canada,5067374
38,Infosys,Retail,UK,6794859
39,TCS,Retail,Germany,30884114
40,Infosys,Retail,India,12370529
41,TCS,Banking,India,6979186
42,Wipro,Banking,India,21696232
43,Wipro,Telecom,India,41226956
44,Infosys,Healthcare,Canada,10171168
45,Wipro,Telecom,India,12636294
46,HCLTech,Banking,Germany,33782760
47,Wipro,Retail,India,45567711
48,HCLTech,Retail,India,5157076
49,Infosys,Telecom,India,22524074
50,HCLTech,Manufacturing,Canada,23363761
51,Wipro,Banking,India,16447701
52,Infosys,Healthcare,Canada,43039058
53,Infosys,Retail,Canada,27486879
54,HCLTech,Healthcare,Canada,13301413
55,Wipro,Healthcare,Germany,1201165
56,Infosys,Healthcare,Germany,5952226
57,HCLTech,Banking,Germany,29668169
58,Wipro,Manufacturing,USA,395308
59,TCS,Manufacturing,USA,3385437
60,TCS,Banking,Canada,7344126
61,Wipro,Telecom,Canada,28091275
62,Wipro,Telecom,UK,16794890
63,TCS,Healthcare,USA,21662026
64,Infosys,Healthcare,India,33765693
65,TCS,Manufacturing,Germany,20622838
66,Wipro,Healthcare,Canada,39750970
67,HCLTech,Healthcare,UK,9240511
68,Wipro,Banking,USA,35362160
69,HCLTech,Retail,UK,8163089
70,HCLTech,Manufacturing,Germany,16876257
71,HCLTech,Manufacturing,India,25727691
72,HCLTech,Retail,UK,30540652
73,Infosys,Banking,USA,48650614
74,Wipro,Telecom,Canada,3715026
75,Wipro,Telecom,Canada,9526418
76,Wipro,Healthcare,India,42154963
77,HCLTech,Banking,India,15401042
78,Infosys,Manufacturing,UK,43238533
79,Infosys,Healthcare,USA,3651071
80,TCS,Retail,USA,37204619
81,TCS,Retail,UK,32054625
82,Infosys,Retail,Canada,23041206
83,TCS,Manufacturing,India,1493525
84,HCLTech,Banking,Canada,18394572
85,Infosys,Retail,India,15051267
86,Wipro,Healthcare,UK,42270742
87,HCLTech,Healthcare,Canada,23581989
88,TCS,Telecom,USA,2208424
89,HCLTech,Manufacturing,UK,19157516
90,TCS,Healthcare,UK,8706968
91,Infosys,Healthcare,Germany,1255410
92,HCLTech,Manufacturing,India,647574
93,TCS,Banking,Canada,41978076
94,Wipro,Telecom,UK,21428835
95,TCS,Healthcare,Canada,1427623
96,TCS,Banking,India,10114191
97,TCS,Healthcare,USA,41068400
98,TCS,Healthcare,India,1218388
99,Wipro,Manufacturing,UK,19527077
100,TCS,Retail,Germany,18224910
101,HCLTech,Retail,Germany,17009928
102,Infosys,Retail,Canada,46778650
103,Wipro,Banking,USA,2627352
104,TCS,Banking,Canada,8368767
105,Wipro,Banking,Germany,19592120
106,HCLTech,Telecom,Germany,14190647
107,TCS,Manufacturing,USA,29412578
108,Wipro,Healthcare,Germany,19661123
109,Wipro,Retail,Germany,26962356
110,TCS,Telecom,USA,23749029
111,Wipro,Retail,India,21943923
112,TCS,Retail,India,48779713
113,TCS,Retail,UK,7727698
114,Infosys,Banking,USA,3317862
115,HCLTech,Banking,USA,29584004
116,Infosys,Healthcare,Canada,4342870
117,HCLTech,Retail,Germany,34747239
118,HCLTech,Healthcare,UK,111711
119,TCS,Banking,Canada,49376190
120,Wipro,Healthcare,UK,33592866
121,TCS,Retail,India,17828082
122,HCLTech,Retail,UK,49789457
123,HCLTech,Telecom,USA,19116826
124,TCS,Healthcare,Germany,1398331
125,Wipro,Healthcare,Canada,44183587
126,HCLTech,Manufacturing,India,3873156
127,HCLTech,Telecom,India,26859356
128,Infosys,Banking,India,46920056
129,TCS,Banking,UK,28414591
130,Infosys,Healthcare,UK,45319261
131,TCS,Healthcare,UK,47947098
132,TCS,Telecom,Germany,20396510
133,Wipro,Manufacturing,Canada,8751421
134,Infosys,Manufacturing,USA,9794998
135,Wipro,Retail,UK,8554756
136,Wipro,Healthcare,UK,1951131
137,HCLTech,Healthcare,UK,47281237
138,Wipro,Retail,USA,11904291
139,TCS,Healthcare,UK,40836599
140,TCS,Manufacturing,Germany,2531465
141,Infosys,Banking,India,31513859
142,TCS,Banking,Canada,47645103
143,HCLTech,Manufacturing,UK,6533220
144,TCS,Retail,India,20979069
145,TCS,Manufacturing,Germany,6422096
146,TCS,Banking,UK,36072566
147,Wipro,Telecom,UK,761249
148,HCLTech,Banking,Germany,23026993
