Financial_ID,Company,Year,Quarter,Revenue,Profit,Employees
1,TCS,2015,Q3,4812,994,86579
2,TCS,2025,Q1,7712,210,57811
3,TCS,2018,Q2,1234,2378,102124
4,HCLTech,2018,Q4,5357,106,248916
5,Infosys,2026,Q4,6374,1218,90758
6,Infosys,2020,Q1,2319,1636,75353
7,Wipro,2020,Q3,1511,1961,190568
8,TCS,2021,Q1,5603,1561,201349
9,Infosys,2026,Q1,1550,1013,125861
10,TCS,2018,Q1,7027,1218,168858
11,Wipro,2017,Q3,6620,938,225682
12,Wipro,2026,Q1,3603,2267,241136
13,Infosys,2017,Q4,7016,1185,217772
14,Infosys,2025,Q3,1716,1018,58414
15,Wipro,2021,Q3,1884,944,198682
16,Wipro,2018,Q4,7282,1959,87452
17,Wipro,2017,Q2,5104,2474,162311
18,HCLTech,2020,Q2,3066,2167,179372
19,TCS,2015,Q1,3304,735,228384
20,HCLTech,2024,Q1,7104,1643,206208
21,HCLTech,2023,Q3,988,549,228706
22,Wipro,2025,Q3,2627,1282,163971
23,Infosys,2022,Q1,5115,2130,249743
24,Infosys,2023,Q1,5689,2159,209637
25,Infosys,2017,Q3,3446,2289,189029
26,TCS,2024,Q3,8805,159,79325
27,Wipro,2019,Q2,1749,1066,198729
28,TCS,2016,Q4,1933,2261,82967
29,Infosys,2025,Q4,3505,1165,188326
30,HCLTech,2018,Q2,5907,1714,226078
31,Wipro,2022,Q4,2782,1095,108903
32,TCS,2020,Q1,4570,2490,107728
33,TCS,2016,Q1,4550,356,58234
34,Wipro,2016,Q2,5362,2068,106160
35,Infosys,2026,Q4,4781,2017,156708
36,Infosys,2016,Q1,7862,1531,161038
37,HCLTech,2022,Q1,2412,328,155544
38,Wipro,2016,Q2,3939,859,190584
39,HCLTech,2017,Q4,3806,1220,171275
40,Infosys,2016,Q4,2404,287,220955
41,TCS,2016,Q2,3524,1744,177307
42,HCLTech,2018,Q4,1760,754,149345
43,TCS,2021,Q3,8254,1248,160888
44,HCLTech,2017,Q2,5661,971,65331
45,TCS,2026,Q3,1736,285,203138
46,HCLTech,2023,Q2,1731,2160,71000
47,Infosys,2016,Q1,4653,1733,81427
48,Infosys,2024,Q1,2143,1797,222326
49,Wipro,2019,Q2,5947,1057,119629
50,HCLTech,2017,Q3,8291,1375,247096
51,TCS,2015,Q4,2438,380,190937
52,Infosys,2023,Q3,2970,1509,68033
53,Infosys,2020,Q3,3384,1874,192401
54,Wipro,2024,Q1,5705,504,85203
55,Wipro,2016,Q1,3346,1195,123860
56,Infosys,2026,Q3,4135,1161,182489
57,HCLTech,2019,Q1,2312,1814,122530
58,TCS,2015,Q3,2943,1152,92357
59,HCLTech,2023,Q4,958,538,69724
60,Infosys,2023,Q1,6849,2465,194841
61,Infosys,2021,Q2,1485,1342,145591
62,TCS,2020,Q2,4888,501,142714
63,HCLTech,2024,Q2,4678,745,96413
64,HCLTech,2015,Q2,6242,1766,225612
65,Infosys,2019,Q2,2571,1646,60151
66,HCLTech,2018,Q2,8341,1512,130003
67,Infosys,2018,Q1,3964,1712,136051
68,Wipro,2016,Q3,6553,2166,154773
69,Wipro,2015,Q1,5079,811,202198
70,Wipro,2015,Q1,7919,1495,240983
71,Wipro,2021,Q1,7111,2441,99828
72,Wipro,2015,Q4,827,2209,191151
