Employee_ID,Company,Department,Role,Age,Salary,JoinDate
1,Wipro,AI,QA,50,91806,11-04-2020
2,Wipro,Finance,SE,21,14827,12-04-2020
3,Wipro,Finance,BA,49,121727,13-04-2020
4,Wipro,Engineering,SSE,43,88985,14-04-2020
5,Infosys,Finance,SE,25,35904,15-04-2020
6,HCLTech,Cloud,SSE,44,144114,16-04-2020
7,TCS,HR,DS,44,128945,17-04-2020
8,Infosys,Cloud,PM,33,40992,18-04-2020
9,TCS,Cloud,SSE,41,137059,19-04-2020
10,Infosys,AI,QA,49,27540,20-04-2020
11,Infosys,IT,SE,58,23219,21-04-2020
12,HCLTech,Support,QA,42,134654,22-04-2020
13,Wipro,Cloud,DevOps,40,120083,23-04-2020
14,TCS,Support,SSE,47,78257,24-04-2020
15,Infosys,Engineering,PM,34,78383,25-04-2020
16,TCS,Support,DS,59,53084,26-04-2020
17,HCLTech,Finance,QA,59,121390,27-04-2020
18,TCS,Engineering,BA,53,82686,28-04-2020
19,Infosys,AI,DevOps,57,104793,29-04-2020
20,TCS,HR,SE,24,75077,30-04-2020
21,TCS,HR,DS,58,78448,01-05-2020
22,TCS,Support,BA,28,55452,02-05-2020
23,HCLTech,AI,SSE,33,57850,03-05-2020
24,TCS,Finance,PM,42,101412,04-05-2020
25,TCS,AI,PM,35,92132,05-05-2020
26,Infosys,Support,QA,50,15657,06-05-2020
27,Infosys,Support,DevOps,46,136411,07-05-2020
28,Wipro,IT,PM,49,132094,08-05-2020
29,Wipro,Engineering,SE,49,115873,09-05-2020
30,TCS,Engineering,BA,26,19222,10-05-2020
31,Infosys,Sales,SSE,55,57378,11-05-2020
32,HCLTech,Finance,BA,31,104204,12-05-2020
33,HCLTech,Sales,SSE,51,51706,13-05-2020
34,Infosys,IT,SE,29,86178,14-05-2020
35,TCS,Support,SSE,42,87092,15-05-2020
36,HCLTech,Finance,SSE,23,91438,16-05-2020
37,Wipro,AI,QA,27,37126,17-05-2020
38,Wipro,Engineering,DS,42,19665,18-05-2020
39,Wipro,Support,SE,36,135319,19-05-2020
40,HCLTech,Support,QA,32,107394,20-05-2020
41,HCLTech,Sales,QA,55,100878,21-05-2020
42,Infosys,Engineering,DevOps,26,37006,22-05-2020
43,TCS,Finance,DevOps,41,19644,23-05-2020
44,HCLTech,Finance,DS,30,48501,24-05-2020
45,TCS,HR,SSE,38,101105,25-05-2020
46,TCS,IT,SE,33,57519,26-05-2020
47,Infosys,HR,PM,45,94958,27-05-2020
48,Infosys,Cloud,QA,53,22727,28-05-2020
49,HCLTech,Engineering,PM,36,20611,29-05-2020
50,TCS,HR,DS,57,73343,30-05-2020
51,Infosys,Sales,SSE,29,113508,31-05-2020
52,HCLTech,Support,PM,32,16575,01-06-2020
53,TCS,Finance,SSE,33,72936,02-06-2020
54,Wipro,HR,DevOps,60,74948,03-06-2020
55,HCLTech,Cloud,DS,55,78446,04-06-2020
56,TCS,HR,BA,32,42222,05-06-2020
57,TCS,IT,DS,32,24705,06-06-2020
58,HCLTech,Support,BA,57,24588,07-06-2020
59,Infosys,HR,DevOps,22,82179,08-06-2020
60,TCS,Engineering,DS,28,35887,09-06-2020
61,TCS,HR,PM,30,130478,10-06-2020
62,TCS,IT,PM,32,42099,11-06-2020
63,Wipro,Support,PM,58,134649,12-06-2020
64,TCS,Sales,DevOps,38,71587,13-06-2020
65,TCS,HR,SSE,42,32025,14-06-2020
66,Infosys,AI,PM,36,73168,15-06-2020
67,TCS,AI,SSE,41,52303,16-06-2020
68,Wipro,Engineering,DevOps,29,29127,17-06-2020
69,HCLTech,Cloud,SSE,28,89754,18-06-2020
70,TCS,Support,PM,27,53920,19-06-2020
71,Wipro,Cloud,QA,25,46629,20-06-2020
72,HCLTech,Cloud,PM,56,67307,21-06-2020
73,Infosys,IT,QA,34,26543,22-06-2020
74,Wipro,AI,SSE,24,139691,23-06-2020
75,HCLTech,Support,SSE,48,42913,24-06-2020
76,TCS,Sales,DS,37,135736,25-06-2020
77,Infosys,AI,SSE,51,67253,26-06-2020
78,Wipro,IT,BA,31,89659,27-06-2020
79,Wipro,AI,SE,48,30716,28-06-2020
80,Infosys,Engineering,SSE,22,47348,29-06-2020
81,Wipro,Engineering,DevOps,39,55453,30-06-2020
82,Wipro,IT,PM,29,89623,01-07-2020
83,TCS,Engineering,BA,31,134961,02-07-2020
84,HCLTech,Support,SE,48,149997,03-07-2020
85,HCLTech,HR,QA,45,94305,04-07-2020
86,Infosys,Cloud,DS,60,17043,05-07-2020
87,TCS,Engineering,PM,25,68260,06-07-2020
88,Infosys,Support,BA,31,39646,07-07-2020
89,HCLTech,Engineering,PM,32,15265,08-07-2020
90,Infosys,Engineering,DevOps,34,86674,09-07-2020
91,HCLTech,Support,DS,28,40133,10-07-2020
92,Infosys,Cloud,DS,59,118368,11-07-2020
93,Infosys,Sales,QA,30,100218,12-07-2020
94,Wipro,IT,BA,36,60677,13-07-2020
95,Wipro,AI,DevOps,35,76801,14-07-2020
96,Wipro,Engineering,DS,29,14565,15-07-2020
97,Infosys,Sales,DevOps,25,10108,16-07-2020
98,Wipro,HR,QA,41,26566,17-07-2020
99,HCLTech,Sales,DS,56,77945,18-07-2020
100,TCS,Finance,QA,49,31168,19-07-2020
101,Wipro,Engineering,SSE,21,41309,20-07-2020
102,HCLTech,Cloud,DS,37,98997,21-07-2020
103,Infosys,HR,DevOps,46,73368,22-07-2020
104,HCLTech,Support,PM,24,54424,23-07-2020
105,Infosys,AI,QA,35,121044,24-07-2020
106,HCLTech,IT,QA,38,29194,25-07-2020
107,HCLTech,Engineering,PM,24,82883,26-07-2020
108,Wipro,HR,DS,24,120241,27-07-2020
109,TCS,Engineering,DevOps,42,117154,28-07-2020
110,TCS,Support,PM,24,69371,29-07-2020
111,Wipro,Sales,DS,48,17202,30-07-2020
112,Wipro,Cloud,QA,29,15703,31-07-2020
113,HCLTech,Finance,SE,47,36329,01-08-2020
114,Infosys,Finance,DevOps,43,99605,02-08-2020
115,HCLTech,Engineering,SE,29,79869,03-08-2020
116,HCLTech,Engineering,SSE,60,67365,04-08-2020
117,TCS,Engineering,DS,58,58720,05-08-2020
118,HCLTech,HR,SE,40,45411,06-08-2020
119,Wipro,Sales,BA,52,106924,07-08-2020
120,TCS,Cloud,SSE,40,42399,08-08-2020
121,HCLTech,IT,SSE,43,97101,09-08-2020
122,Infosys,IT,BA,52,23005,10-08-2020
123,Infosys,Sales,PM,25,97760,11-08-2020
124,HCLTech,HR,SSE,56,111065,12-08-2020
125,TCS,Cloud,DS,38,33032,13-08-2020
126,Infosys,Cloud,SSE,43,20979,14-08-2020
127,HCLTech,Sales,BA,44,47877,15-08-2020
128,Infosys,Sales,SE,51,77123,16-08-2020
129,Wipro,Sales,SE,50,24901,17-08-2020
130,TCS,Cloud,BA,54,13413,18-08-2020
131,TCS,Engineering,SSE,32,50077,19-08-2020
132,Wipro,AI,PM,36,31615,20-08-2020
133,HCLTech,Support,QA,25,110224,21-08-2020
134,TCS,Finance,BA,23,127429,22-08-2020
