Office_ID,Company,Country,State,City,Employees
1,Wipro,Canada,KA,Pune,10757
2,HCLTech,India,TS,Pune,7143
3,Wipro,UK,TS,Chennai,8807
4,HCLTech,Canada,WB,Chennai,3058
5,Wipro,Canada,TN,Bengaluru,8998
6,TCS,India,TN,Kolkata,8237
7,HCLTech,Canada,TS,Kolkata,8742
8,Wipro,India,WB,Pune,13110
9,TCS,USA,WB,Hyderabad,9553
10,TCS,Canada,TS,Chennai,1895
11,Infosys,UK,WB,Bengaluru,3042
12,Infosys,India,TS,Pune,5469
13,HCLTech,USA,TS,Pune,1890
14,Infosys,USA,TN,Hyderabad,5451
15,HCLTech,Germany,TN,Kolkata,3717
16,TCS,UK,KA,Hyderabad,11747
17,Wipro,India,KA,Kolkata,12903
18,HCLTech,USA,TN,Pune,8612
19,TCS,Canada,MH,Bengaluru,4525
20,Wipro,Canada,TN,Kolkata,14399
21,HCLTech,UK,KA,Hyderabad,653
22,TCS,Canada,KA,Hyderabad,5615
23,HCLTech,Germany,WB,Hyderabad,11577
24,TCS,USA,KA,Bengaluru,13888
25,Infosys,UK,TS,Kolkata,13147
26,HCLTech,UK,TS,Chennai,8980
27,Infosys,Germany,MH,Chennai,10339
28,Infosys,Germany,WB,Hyderabad,12106
29,HCLTech,USA,TN,Chennai,5347
30,TCS,USA,TS,Hyderabad,11613
31,Wipro,India,TS,Chennai,9190
32,Infosys,India,WB,Hyderabad,1985
33,HCLTech,USA,TS,Hyderabad,10326
34,HCLTech,India,WB,Bengaluru,14556
35,Infosys,India,TN,Kolkata,8379
36,Infosys,USA,TS,Chennai,4512
37,Wipro,Germany,MH,Pune,7369
38,Infosys,USA,MH,Chennai,12827
39,Infosys,UK,MH,Chennai,360
40,Infosys,Canada,WB,Kolkata,61
41,Infosys,Germany,TS,Hyderabad,4035
42,TCS,UK,TN,Chennai,8336
43,HCLTech,India,WB,Pune,9672
44,Wipro,Germany,TN,Hyderabad,1732
45,HCLTech,Canada,MH,Kolkata,1848
46,HCLTech,UK,KA,Hyderabad,7012
47,TCS,Germany,TN,Chennai,155
48,Infosys,Germany,TS,Pune,10118
49,TCS,India,TS,Kolkata,12579
50,TCS,Canada,TS,Pune,10264
51,TCS,Germany,TN,Bengaluru,1144
52,Wipro,India,MH,Kolkata,5657
53,TCS,Germany,WB,Chennai,8195
54,TCS,India,KA,Hyderabad,13819
55,HCLTech,India,WB,Bengaluru,2989
56,Wipro,UK,TS,Chennai,7108
57,Infosys,India,KA,Hyderabad,13361
58,Infosys,USA,MH,Bengaluru,12055
59,Infosys,India,WB,Hyderabad,2824
60,HCLTech,Canada,WB,Kolkata,13265
61,Infosys,UK,KA,Chennai,4684
62,HCLTech,Canada,KA,Chennai,11187
63,Infosys,Canada,MH,Chennai,9327
64,Infosys,USA,WB,Kolkata,1392
65,Infosys,USA,WB,Chennai,3720
66,Infosys,India,TN,Bengaluru,12113
67,HCLTech,Canada,KA,Kolkata,6459
68,HCLTech,Canada,TN,Kolkata,8305
69,HCLTech,USA,KA,Bengaluru,8971
70,Infosys,India,TN,Pune,3931
71,Infosys,UK,MH,Bengaluru,9315
72,Wipro,Germany,MH,Hyderabad,8499
73,Wipro,Canada,MH,Pune,13956
74,HCLTech,Canada,MH,Hyderabad,13161
75,TCS,Canada,TN,Pune,2251
76,Infosys,USA,TN,Hyderabad,11044
77,HCLTech,India,TN,Bengaluru,14635
78,Wipro,Canada,KA,Pune,4098
79,Wipro,USA,KA,Kolkata,14741
80,Infosys,USA,TS,Bengaluru,14891
81,Wipro,India,KA,Pune,2047
82,Wipro,India,KA,Pune,9398
83,Wipro,Canada,KA,Kolkata,2421
84,Wipro,India,TS,Bengaluru,977
85,HCLTech,Germany,KA,Chennai,11683
86,Wipro,UK,MH,Kolkata,11194
87,HCLTech,India,TS,Hyderabad,12989
88,Wipro,UK,WB,Kolkata,1137
89,Wipro,Canada,KA,Chennai,9394
90,HCLTech,USA,MH,Pune,7924
91,TCS,Germany,MH,Hyderabad,256
92,TCS,UK,MH,Pune,12127
93,TCS,India,WB,Chennai,8105
94,Wipro,UK,KA,Bengaluru,4542
95,Infosys,Germany,MH,Pune,7321
96,Wipro,Germany,TS,Pune,5492
97,HCLTech,Canada,TS,Hyderabad,5851
98,TCS,Canada,WB,Pune,5914
99,Wipro,USA,TS,Chennai,7083
100,TCS,Germany,TS,Hyderabad,7214
101,TCS,USA,MH,Hyderabad,4804
102,TCS,UK,WB,Kolkata,11428
103,HCLTech,India,MH,Pune,5605
104,TCS,India,WB,Bengaluru,14443
105,Wipro,Canada,MH,Bengaluru,10149
106,TCS,Canada,WB,Bengaluru,5751
107,Wipro,UK,KA,Hyderabad,4028
108,HCLTech,UK,TS,Pune,11438
109,HCLTech,Germany,TS,Pune,6221
110,HCLTech,Germany,TS,Bengaluru,161
111,TCS,USA,WB,Pune,14791
112,TCS,USA,WB,Chennai,13914
113,TCS,USA,MH,Pune,13516
114,TCS,UK,TN,Chennai,2734
115,Wipro,USA,WB,Chennai,5737
116,TCS,UK,TS,Bengaluru,8590
117,Infosys,Germany,TN,Kolkata,10491
118,Infosys,UK,WB,Kolkata,647
119,TCS,Canada,TN,Pune,7405
120,TCS,Germany,WB,Pune,3240
121,HCLTech,UK,TS,Chennai,11903
122,Infosys,UK,MH,Bengaluru,6490
123,HCLTech,Germany,MH,Pune,3525
124,HCLTech,Canada,WB,Chennai,3459
125,HCLTech,UK,KA,Kolkata,2249
126,Infosys,India,MH,Hyderabad,1198
127,Infosys,Germany,KA,Hyderabad,5695
128,Infosys,UK,WB,Kolkata,7662
129,TCS,UK,TN,Bengaluru,3224
130,Infosys,India,MH,Hyderabad,14555
131,HCLTech,UK,TS,Chennai,14857
132,Infosys,USA,MH,Hyderabad,3973
133,HCLTech,USA,MH,Kolkata,7143
134,Infosys,UK,TS,Hyderabad,8055
135,Wipro,Germany,WB,Kolkata,7913
136,TCS,Germany,KA,Hyderabad,5766
137,Infosys,Germany,TN,Chennai,8584
138,TCS,Canada,TS,Bengaluru,6850
139,HCLTech,India,TN,Hyderabad,219
140,Infosys,India,TN,Chennai,1308
141,HCLTech,India,TN,Chennai,5663
142,HCLTech,India,TN,Kolkata,529
143,Infosys,Germany,TS,Pune,14820
144,HCLTech,USA,KA,Bengaluru,882
145,HCLTech,India,WB,Bengaluru,4491
146,Wipro,Canada,TN,Chennai,13792
147,Wipro,Germany,KA,Pune,1789
148,TCS,USA,WB,Bengaluru,157
149,TCS,Canada,MH,Kolkata,5578
150,Infosys,India,KA,Kolkata,11797
151,TCS,Germany,WB,Pune,8640
152,Wipro,UK,MH,Hyderabad,13266
153,Wipro,UK,WB,Bengaluru,10262
154,Infosys,Canada,TN,Kolkata,12314
155,Infosys,Germany,TS,Hyderabad,3782
