Project_ID,Company,Client_ID,Employee_ID,Technology,Budget,Status
1,Wipro,32252,195820,Azure,8646817,In Progress
2,Wipro,21042,69871,Azure,6633547,On Hold
3,HCLTech,89295,148126,AWS,5647221,On Hold
4,Infosys,54119,115503,Java,7970162,On Hold
5,TCS,114709,100718,GCP,4313680,In Progress
6,TCS,91805,24244,AWS,9438406,Completed
7,HCLTech,113542,186129,Java,5171519,In Progress
8,TCS,72965,39418,Java,6434833,In Progress
9,Wipro,38503,179193,Azure,7023671,On Hold
10,HCLTech,59848,86628,SAP,133948,In Progress
11,TCS,54035,113438,Java,360883,In Progress
12,TCS,117027,94326,Java,8541902,In Progress
13,Wipro,30997,19863,AWS,3602900,On Hold
14,Infosys,71481,123582,Python,5182934,In Progress
15,TCS,62235,77658,Python,2552176,Completed
16,Wipro,27146,128496,Azure,6284866,Completed
17,HCLTech,13655,154622,Python,5344882,On Hold
18,TCS,18159,141780,GCP,5795346,Completed
19,Infosys,24587,10572,Azure,3015114,Completed
20,Infosys,50200,117109,AWS,7518600,Completed
21,TCS,37529,104867,Python,3762204,In Progress
22,Wipro,38762,99741,Azure,9840920,On Hold
23,Infosys,49167,105650,SAP,120782,In Progress
24,TCS,48463,224769,AWS,5518813,On Hold
25,Wipro,39483,184609,Azure,3123192,On Hold
26,HCLTech,61723,222776,SAP,1915243,In Progress
27,Wipro,101203,58195,GCP,4876837,Completed
28,TCS,105008,130982,Java,7053371,On Hold
29,Infosys,20070,178275,AWS,574509,On Hold
30,Wipro,30639,4952,Java,6489380,In Progress
31,TCS,66318,231618,Python,5534540,In Progress
32,Infosys,40798,28918,GCP,693169,In Progress
33,TCS,19757,26540,Java,4213237,In Progress
34,Infosys,71900,100078,Java,6780409,On Hold
35,Infosys,28636,2030,AWS,7596972,Completed
36,Infosys,68643,216067,GCP,3427224,On Hold
37,Wipro,77319,128737,Java,680361,In Progress
38,Infosys,57421,43032,Python,9322451,In Progress
39,TCS,94973,158516,Java,3299407,Completed
40,TCS,58377,247939,AWS,6687288,On Hold
41,TCS,110200,81733,GCP,9023213,Completed
42,Infosys,6775,155773,GCP,5877524,On Hold
43,TCS,40041,127368,GCP,3928944,On Hold
44,TCS,34709,136637,Python,8990824,In Progress
45,TCS,9717,97345,SAP,4681022,Completed
46,Infosys,54579,21849,Azure,8429713,In Progress
47,HCLTech,33732,18465,Java,3972337,On Hold
48,Wipro,14626,99325,SAP,2753780,Completed
49,Wipro,115462,56562,GCP,8156203,In Progress
50,Infosys,21192,220834,SAP,2841622,In Progress
51,Wipro,4181,84748,Azure,5100557,On Hold
52,Infosys,36492,89015,SAP,7995153,On Hold
