Technology_ID,Company,Technology,Project_ID,Popularity
1,HCLTech,SAP,153468,57.75
2,Wipro,SAP,48952,57.73
3,HCLTech,Azure,146403,78.35
4,TCS,Python,39073,75.26
5,TCS,Azure,50553,85.76
6,TCS,Python,78218,99.57
7,Infosys,Python,145439,99.08
8,HCLTech,AWS,144568,87.16
9,TCS,GCP,168384,78.03
10,Wipro,Python,167258,83.71
11,Wipro,Azure,61585,97.33
12,Wipro,Java,43070,81.18
13,TCS,Python,147627,78.08
14,TCS,Python,19299,73.12
15,TCS,Python,172560,60.64
16,TCS,Java,1081,60.31
17,Infosys,SAP,162461,59.63
18,TCS,Azure,99552,85.18
19,TCS,Python,3567,80.02
20,Infosys,Python,38854,67.38
21,TCS,Python,154540,80.09
22,TCS,Azure,117522,80.69
23,HCLTech,Azure,149820,86.03
24,Wipro,SAP,54,66.56
25,Wipro,Python,79620,75.29
26,Wipro,Azure,54240,99.48
27,TCS,AWS,114465,56.65
28,HCLTech,Azure,158465,93.21
29,HCLTech,GCP,107183,87.71
30,HCLTech,Python,167510,93.0
31,HCLTech,SAP,356,57.07
32,Infosys,AWS,51904,58.05
33,HCLTech,Python,124861,74.66
34,TCS,Azure,93131,77.51
35,Infosys,GCP,69692,93.94
36,Wipro,Azure,45122,71.76
37,HCLTech,GCP,88232,59.61
38,Wipro,Azure,33663,76.24
39,TCS,Azure,46677,90.1
40,HCLTech,Azure,11966,66.08
41,Wipro,GCP,1285,59.53
42,Infosys,Python,51877,61.46
43,HCLTech,Azure,49438,61.33
44,Infosys,Python,150917,51.96
45,Infosys,GCP,129950,68.54
46,Infosys,Python,25849,92.85
47,TCS,GCP,39363,86.55
48,Wipro,Java,46874,96.66
49,TCS,Python,140706,99.26
50,TCS,Java,57101,96.35
51,Wipro,Azure,115327,96.52
52,Infosys,AWS,81013,55.49
53,TCS,GCP,155567,72.79
54,HCLTech,SAP,168550,81.08
55,TCS,Python,33992,67.04
56,Infosys,AWS,94602,64.26
57,TCS,Python,110683,83.98
58,Infosys,SAP,72452,73.87
59,TCS,Python,28200,83.39
60,HCLTech,Python,50630,91.93
61,Wipro,Azure,153878,68.28
62,Wipro,GCP,57762,93.12
63,TCS,Python,62651,92.3
64,TCS,Azure,163049,95.01
65,TCS,AWS,81153,60.71
66,Infosys,Python,80291,50.64
67,Wipro,GCP,107423,70.3
68,HCLTech,GCP,97275,56.93
69,Wipro,Java,87538,55.19
70,TCS,Python,71011,53.77
